Language	Value	Reference
Abau	 SOV	Bailey 1975: passim
Abipón	 SVO	Najlis 1966: passim 80, 87
Abkhaz	 SOV	Hewitt 1979: 103
Abui	 SOV	Kratochvil 2007: 11, 18
Abun	 SVO	Berry 1995b: 5
Acehnese	 No dominant order	Durie 1985: passim
Achagua	 SVO	Wilson and Levinsohn 1992: 2
Acholi	 SVO	Crazzolara 1955: 43
Achumawi	 SVO	Olmsted 1977: passim
Acoma	 No dominant order	Miller 1965: 175; Maring 1967: 107-111, passim
Adang	 SOV	Haan 2001: 220
Adioukrou	 SVO	Herault 1978: 27-37, 249, 251, 253-255, passim
Adyghe (Abzakh)	 SOV	Paris 1989: 219-220
Adynyamathanha	 No dominant order	Schebeck 1974: 54, 58
Adzera	 SVO	Holzknecht 1986: passim
Aekyom	 SOV	Horowitz 2008: 4
Agarabi	 SOV	Goddard 1967: 15
Aghem	 SVO	Watters 1979: 143
Agta (Central)	 VSO	Healey 1960: 35
Agta (Dupaningan)	 VSO	Robinson 2008: 211
Ainu	 SOV	Shibatani 1990: 22 ; Refsing 1986: 144, 268, 270; Dettmer 1989: 913
Aja	 SVO	Santandrea 1976: passim
Ajagbe	 No dominant order	Tchitchi 1984: 140-175
Akan	 SVO	Welmers 1946: 61; Christaller 1875: 36-37
Akha	 SOV	Hansson 2003: 241
Ala'ala	 SOV	Lanyon-Orgill 1943: 649; Symonds 1989: 63
Alamblak	 SOV	Bruce 1984: 188
Alawa	 No dominant order	Sharpe 1972: passim
Albanian	 SVO	Newmark et al. 1982: passim; Maxwell 1979: 188
Aleut	 SOV	Bergsland 1997: 126, 138
Alune	 SVO	Niggemeyer 1951: 65
Alyawarra	 SOV	Yallop 1977: 129
Amahuaca	 No dominant order	Russell 1975: 91, 94
Amanab	 SOV	Minch 1992: 134
Amara	 SVO	Thurston 1996: 213
Ambae (Lolovoli Northeast)	 SVO	Hyslop 2001: 57
Ambai	 SVO	Silzer 1983: 174
Ambulas	 SOV	Wilson 1980: 186
Amele	 SOV	Roberts 1987: 70-71
Amharic	 SOV	Leslau 1995: 836
Amis	 No dominant order	Wu 2006: 73-74
Anejom	 VOS	Lynch 2000: 11, 114
Anêm	 SVO	Thurston 1982: 16
Angami	 SOV	Giridhar 1980: 92
Angas	 SVO	Burquest 1973: 18
Anggor	 SOV	Litteral 1980: 97
Anguthimri	 SOV	Crowley 1981: 148, 179
//Ani	 No dominant order	Heine 1999a: passim
Anindilyakwa	 No dominant order	Leeding 1989: passim
Anong	 SOV	Sun 1988: 60
Anufo	 SVO	Smye 2004: 49
Anyi	 SVO	Retord 1981: 149
Anywa	 No dominant order	Reh 1996: 314-315, 347-353
