Language	Value	Reference
Aari	 Postpositions	Hayward 1990a: 489-490
Abau	 Postpositions	Bailey 1975: passim
Abipón	 Prepositions	Najlis 1966: 88
Abkhaz	 Postpositions	Hewitt 1979: 103
Abui	 No adpositions	Kratochvil 2007: 11
Abun	 Prepositions	Berry 1995b: 5, 119
Acehnese	 Prepositions	Durie 1985: 169ff
Achagua	 Postpositions	Wilson and Levinsohn 1992: 3, 71
Achang	 Postpositions	Dai and Cui 1985: passim
Acholi	 Prepositions	Crazzolara 1955: 149-150
Achumawi	 Prepositions	Olmsted 1977: passim
Acoma	 Postpositions	Miller 1965: passim; Maring 1967: passim 125
Adang	 Postpositions	Haan 2001: 239-241
Adioukrou	 Postpositions	Herault 1978: 185ff
Adyghe (Abzakh)	 Postpositions	Paris 1989: 170
Adynyamathanha	 Postpositions	Schebeck 1974: 44
Adzera	 Prepositions	Holzknecht 1986: 129-131, 134
Agta (Central)	 Prepositions	Healey 1960: passim
Ainu	 Postpositions	Shibatani 1990: 23, 34-36 ; Refsing 1986: 78, 164-170, 268, 273; Dettmer 1989: 171, 913
Aja	 Prepositions	Santandrea 1976: 81-83
Ajagbe	 Postpositions	Tchitchi 1984: passim
Akan	 No dominant order	Christaller 1875: 74ff; Welmers 1946: 53
Akha	 Postpositions	Dellinger 1969: 25, 37, 40-42
Ala'ala	 No dominant order	Symonds 1989: 59; Lanyon-Orgill 1943: passim; Clunn and Kolia 1977: 51, 53-54
Alamblak	 Postpositions	Bruce 1984: 183, 195-207
Alawa	 Prepositions	Sharpe 1972: passim
Albanian	 Prepositions	Newmark 1957: 81; Newmark et al. 1982: 289
Alsea	 Prepositions	Frachtenberg 1920: passim
Alune	 Prepositions	Niggemeyer 1951: 66
Alyawarra	 Postpositions	Yallop 1977: passim
Amahuaca	 Postpositions	Russell 1975: 73, 78
Amara	 Prepositions	Thurston 1996: 213
Amarakaeri	 Postpositions	Helberg Chávez 1984: 438
Ambae (Lolovoli Northeast)	 Prepositions	Hyslop 2001: 98, passim
Ambai	 Prepositions	Silzer 1983: 71, 79, 174
Ambulas	 Postpositions	Wilson 1980: 35
Amdo (Themchen)	 Postpositions	Haller 2004: 67
Amele	 Postpositions	Roberts 1987: 81-82, 160
Amharic	 No dominant order	Cowley et al. 1976: 81
Amis	 Prepositions	Wu 2006: 77
Andoke	 Postpositions	Landaburu 1979: 170-171
Anejom	 Prepositions	Lynch 2000: 119
Anêm	 Prepositions	Thurston 1982: 26, 44
Angami	 Postpositions	Giridhar 1980: 37ff
Angas	 Prepositions	Burquest 1973: 123, 132-133, 135
Anggor	 Postpositions	Litteral 1980: 92
Anindilyakwa	 Inpositions	Leeding 1989: 301-302, 307ff
Anywa	 Prepositions	Lusted 1976: 503
Ao	 Postpositions	Coupe 2007: 121
Apalaí	 Postpositions	Koehn and Koehn 1986: 99
Apatani	 Postpositions	Abraham 1985: 23, 35
Apinayé	 Postpositions	Callow 1962: 133-134
Apurinã	 Postpositions	Facundes 2000: 391; Polak 1894: 12
Arabic (Egyptian)	 Prepositions	Gary and Gamal-Eldin 1982: 29, 57
Arabic (Gulf)	 Prepositions	Holes 1990: 55 
Arabic (Iraqi)	 Prepositions	Erwin 1963: 217, 299, 333 
Arabic (Kuwaiti)	 Prepositions	
Arabic (Modern Standard)	 Prepositions	Cowan 1958: 35 
Arabic (Moroccan)	 Prepositions	Harrell 1962: 208 
Arabic (Syrian)	 Prepositions	Cowell 1964: 476 
Araona	 Postpositions	Pitman 1980: 98-99
Arapesh (Mountain)	 Prepositions	Conrad and Wogiga 1991: 39, 44, 67-70
Archi	 Postpositions	Kibrik et al. 1977: (II) 315
Armenian (Eastern)	 Postpositions	Stevick 1955: 32-35, 46-48
Armenian (Western)	 Postpositions	Gulian 1965: 12
Arop-Lokep	 Prepositions	D'Jernes 2002: 264
Arosi	 Prepositions	Lynch and Horoi 2002: 570
Arrernte (Mparntwe)	 Postpositions	Wilkins 1989: 102
