Language	Value	Reference
Abkhaz	 Relative clause-Noun (RelN) dominant	Hewitt 1979: 35, 56
Achang	 Relative clause-Noun (RelN) dominant	Dai and Cui 1985: passim, 64, 72
Ainu	 Relative clause-Noun (RelN) dominant	Refsing 1986: 80, 268; Shibatani 1990: 23, 40 
Akha	 Relative clause-Noun (RelN) dominant	Dellinger 1969: 32, passim, 171-172; Hansson 2003: 244
Alamblak	 Relative clause-Noun (RelN) dominant	Bruce 1984: 99, 105, 109
Ambulas	 Relative clause-Noun (RelN) dominant	Wilson 1980: 91, passim
Amdo (Themchen)	 RelN or internally-headed	Haller 2004: 158
Amharic	 Relative clause-Noun (RelN) dominant	Leslau 1966: 613
Amis	 Relative clause-Noun (RelN) dominant	Wu 2006: 96
Ao	 RelN or internally-headed	Clark 1893: 14
Apatani	 Relative clause-Noun (RelN) dominant	Abraham 1985: 131
Armenian (Eastern)	 RelN or NRel	
Asmat	 Relative clause-Noun (RelN) dominant	Voorhoeve 1965: passim
Athpare	 Relative clause-Noun (RelN) dominant	Ebert 1997b: 108, 144, 145
Awa	 Relative clause-Noun (RelN) dominant	Loving 1973: 79
Awtuw	 Relative clause-Noun (RelN) dominant	Feldman 1986: 116, 164-165
Azari (Iranian)	 RelN or NRel	Dehghani 2000: 268
Bai	 Relative clause-Noun (RelN) dominant	Wiersma 2003: 669; Xu and Zhao 1984: passim
Balti	 Relative clause-Noun (RelN) dominant	Read 1934: 69
Baragaunle	 Relative clause-Noun (RelN) dominant	Kretschmar 1995: 210
Bashkir	 Relative clause-Noun (RelN) dominant	Poppe 1964: 80-81
Basque	 Relative clause-Noun (RelN) dominant	Urbina 1989: 69; Lafitte 1962: 50; Saltarelli et al. 1988: 75
Bawm	 RelN or internally-headed	Reichle 1981: 90-103, 139
Belhare	 Relative clause-Noun (RelN) dominant	Bickel 2003: 566
Bilua	 RelN or NRel	Obata 2003
Blackfoot	 RelN or NRel	
Bodo	 Relative clause-Noun (RelN) dominant	
Burmese	 Relative clause-Noun (RelN) dominant	Okell 1969: 59, passim; Wheatley 1982: 104-108
Burushaski	 Relative clause-Noun (RelN) dominant	Lorimer 1935: 406, 404, passim; Tiffou and Pesot 1989: passim
Byansi	 RelN or internally-headed	Trivedi 1991: 149, 151-152, 160-161
Camling	 Relative clause-Noun (RelN) dominant	Ebert 1997a: 52, 62-63
Cantonese	 Relative clause-Noun (RelN) dominant	Matthews and Yip 1994: 109 
Chaha	 Relative clause-Noun (RelN) dominant	Leslau 1950: 31
Chang	 RelN or internally-headed	Hutton 1987: 16, 48
Chantyal	 Relative clause-Noun (RelN) dominant	Noonan 2003b: 329
Chechen	 Relative clause-Noun (RelN) dominant	Nichols 1994a: 54, 58, 64
Chepang	 Relative clause-Noun (RelN) dominant	Caughley 1982: 41, 42-43
Cherokee	 Relative clause-Noun (RelN) dominant	Cook 1979: 156, passim; Scancarelli 1986: 228
Chin (Siyin)	 Relative clause-Noun (RelN) dominant	Naylor 1925: passim
Chipaya	 Relative clause-Noun (RelN) dominant	Cerron Palomino 2006: 193
Chukchi	 RelN or NRel	Dunn 1999: passim
Chuvash	 Relative clause-Noun (RelN) dominant	Krueger 1961: 137
Dagur	 Relative clause-Noun (RelN) dominant	Martin 1961: passim
Dargwa	 Relative clause-Noun (RelN) dominant	Isaev 2004: 327, 333
Darma	 RelN or correlative	
Dhimal	 Relative clause-Noun (RelN) dominant	Cooper 1999: 31
Dhivehi	 Relative clause-Noun (RelN) dominant	Cain and Gair 2000: 36
Digaro	 Relative clause-Noun (RelN) dominant	Sastry 1984: 184
Dimasa	 Relative clause-Noun (RelN) dominant	Dundas 1908: 5, 9
Dla (Menggwa)	 RelN or internally-headed	de Sousa 2006: passim
Eipo	 Relative clause-Noun (RelN) dominant	Heeschen 1998: 265, 266, 276-277
Even	 Relative clause-Noun (RelN) dominant	Benzing 1955: Malchukov 1996
Evenki	 Relative clause-Noun (RelN) dominant	Nedjalkov 1997: 36, 82, Malchukov 1996 
