Language	Value	Reference
Aari	 Noun-Relative clause (NRel) dominant	Hayward 1990a: 485
Abipón	 Noun-Relative clause (NRel) dominant	Najlis 1966: 88
Abui	 Noun-Relative clause (NRel) dominant	Kratochvil 2007: 169-174
Abun	 Noun-Relative clause (NRel) dominant	Berry 1995a: 46ff; Berry 1995b: 107-109
Acehnese	 Noun-Relative clause (NRel) dominant	Durie 1985: 231
Achagua	 Noun-Relative clause (NRel) dominant	Wilson and Levinsohn 1992: 7
Acholi	 Noun-Relative clause (NRel) dominant	Crazzolara 1955: 94
Adioukrou	 Noun-Relative clause (NRel) dominant	Herault 1978: passim
Adzera	 Noun-Relative clause (NRel) dominant	Holzknecht 1986: 111
Ajagbe	 Noun-Relative clause (NRel) dominant	Tchitchi 1984: 357-358
Ala'ala	 Noun-Relative clause (NRel) dominant	Lanyon-Orgill 1943: 649, passim; Symonds 1989: 72; Ross 2002d: 352
Albanian	 Noun-Relative clause (NRel) dominant	Newmark et al. 1982: 120-121, 278-279
Alyawarra	 Noun-Relative clause (NRel) dominant	Yallop 1977: 137
Ambae (Lolovoli Northeast)	 Noun-Relative clause (NRel) dominant	Hyslop 2001: 105
Ambai	 Noun-Relative clause (NRel) dominant	Silzer 1983: 80
Amele	 Noun-Relative clause (NRel) dominant	Roberts 1987: 49-52
Amo	 Noun-Relative clause (NRel) dominant	Di Luzio 1972: 21-22
Anejom	 Noun-Relative clause (NRel) dominant	Lynch 2000: 155
Angami	 Noun-Relative clause (NRel) dominant	Giridhar 1980: 58, 92
Angas	 Noun-Relative clause (NRel) dominant	Burquest 1973: 58-65
Anggor	 Noun-Relative clause (NRel) dominant	Litteral 1980: 93
Anufo	 Noun-Relative clause (NRel) dominant	Smye 2004: 31
Anywa	 Noun-Relative clause (NRel) dominant	Lusted 1976: 509
Apache (Western)	 Noun-Relative clause (NRel) dominant	Edgerton 1963: 119
Apurinã	 Noun-Relative clause (NRel) dominant	Facundes 2000: 576
Arabic (Egyptian)	 Noun-Relative clause (NRel) dominant	Gary and Gamal-Eldin 1982: 18, 33
Arabic (Gulf)	 Noun-Relative clause (NRel) dominant	Holes 1990: 24, 59, 62 
Arabic (Iraqi)	 Noun-Relative clause (NRel) dominant	Erwin 1963: 379-380 
Arabic (Kuwaiti)	 Noun-Relative clause (NRel) dominant	
Arabic (Moroccan)	 Noun-Relative clause (NRel) dominant	Harrell 1962: 164 
Arabic (Syrian)	 Noun-Relative clause (NRel) dominant	Cowell 1964: 493 
Araona	 Noun-Relative clause (NRel) dominant	Pitman 1980: 77-78, 90, 60-61
Arbore	 Noun-Relative clause (NRel) dominant	Hayward 1984: 314
Armenian (Eastern)	 NRel or RelN	
Armenian (Western)	 Noun-Relative clause (NRel) dominant	Gulian 1965: 66
Arop-Lokep	 Noun-Relative clause (NRel) dominant	D'Jernes 2002: 258
Arosi	 Noun-Relative clause (NRel) dominant	Lynch and Horoi 2002: 568
Arrernte (Mparntwe)	 Noun-Relative clause (NRel) dominant	Wilkins 1989: 418
Arrernte (Western)	 Noun-Relative clause (NRel) dominant	Strehlow 1944: 100-101
Azari (Iranian)	 NRel or RelN	Dehghani 2000: 268
Babole	 Noun-Relative clause (NRel) dominant	Leitch 1994: 192
Babungo	 Noun-Relative clause (NRel) dominant	Schaub 1985: 33
Bafia	 Noun-Relative clause (NRel) dominant	Guarisma 1973: 230
Bagirmi	 Noun-Relative clause (NRel) dominant	Stevenson 1969: 51
Bagiro	 Noun-Relative clause (NRel) dominant	Boyeldieu 2000: 112-115
Bajau (Sama)	 Noun-Relative clause (NRel) dominant	Verheijen 1986: passim
Bajau (West Coast)	 Noun-Relative clause (NRel) dominant	Miller 2007: 312, 391 
Baka (in South Sudan)	 Noun-Relative clause (NRel) dominant	Santandrea 1976: passim
Bakueri	 Noun-Relative clause (NRel) dominant	Kagaya 1992: 61-63
Bali-Vitu	 Noun-Relative clause (NRel) dominant	Ross 2002c: 372
Barai	 Noun-Relative clause (NRel) dominant	Olson 1975: 490
Barambu	 Noun-Relative clause (NRel) dominant	Santandrea 1965b: 200
Barasano	 Noun-Relative clause (NRel) dominant	Jones and Jones 1991: 149-153
Bari	 Noun-Relative clause (NRel) dominant	Spagnolo 1933: 253
Barupu	 Noun-Relative clause (NRel) dominant	Corris 2005: 133
Basari	 Noun-Relative clause (NRel) dominant	Ferry 1981: 59
Batak (Karo)	 Noun-Relative clause (NRel) dominant	Woollams 1996: 106, 143, 291ff
