Language	Value	Reference
Aari	 OV and Postpositions
Abau	 OV and Postpositions
Abipón	 VO and Prepositions
Abkhaz	 OV and Postpositions
Abun	 VO and Prepositions
Acehnese	 Other
Achagua	 VO and Postpositions
Achang	 OV and Postpositions
Acholi	 VO and Prepositions
Achumawi	 VO and Prepositions
Acoma	 Other
Adang	 OV and Postpositions
Adioukrou	 VO and Postpositions
Adyghe (Abzakh)	 OV and Postpositions
Adynyamathanha	 Other
Adzera	 VO and Prepositions
Agta (Central)	 VO and Prepositions
Ainu	 OV and Postpositions
Aja	 VO and Prepositions
Ajagbe	 Other
Akan	 Other
Akha	 OV and Postpositions
Ala'ala	 Other
Alamblak	 OV and Postpositions
Alawa	 Other
Albanian	 VO and Prepositions
Alsea	 VO and Prepositions
Alune	 VO and Prepositions
Alyawarra	 OV and Postpositions
Amahuaca	 OV and Postpositions
Amara	 VO and Prepositions
Ambae (Lolovoli Northeast)	 VO and Prepositions
Ambai	 VO and Prepositions
Ambulas	 OV and Postpositions
Amdo (Themchen)	 OV and Postpositions
Amele	 OV and Postpositions
Amharic	 Other
Amis	 VO and Prepositions
Anejom	 VO and Prepositions
Anêm	 VO and Prepositions
Angami	 OV and Postpositions
Angas	 VO and Prepositions
Anggor	 OV and Postpositions
//Ani	 Other
Anindilyakwa	 Other
Anywa	 Other
Ao	 OV and Postpositions
Apalaí	 OV and Postpositions
Apatani	 OV and Postpositions
Apinayé	 OV and Postpositions
Apurinã	 Other
Arabic (Egyptian)	 VO and Prepositions
Arabic (Gulf)	 VO and Prepositions
Arabic (Iraqi)	 VO and Prepositions
Arabic (Kuwaiti)	 VO and Prepositions
Arabic (Modern Standard)	 VO and Prepositions
Arabic (Moroccan)	 VO and Prepositions
Arabic (Syrian)	 VO and Prepositions
Araona	 OV and Postpositions
Arapesh (Mountain)	 VO and Prepositions
Archi	 OV and Postpositions
Armenian (Eastern)	 Other
Armenian (Western)	 OV and Postpositions
Arop-Lokep	 VO and Prepositions
Arosi	 VO and Prepositions
Arrernte (Mparntwe)	 OV and Postpositions
Asuriní	 OV and Postpositions
Atakapa	 OV and Postpositions
Atayal	 VO and Prepositions
Au	 VO and Prepositions
Avar	 OV and Postpositions
Avokaya	 Other
Awa Pit	 OV and Postpositions
Awtuw	 OV and Postpositions
Ayiwo	 VO and Prepositions
Aymara (Central)	 OV and Postpositions
Babole	 VO and Prepositions
Babungo	 VO and Prepositions
Bachamal	 Other
Bafut	 VO and Prepositions
Baga Sitemu	 VO and Postpositions
Bagirmi	 VO and Prepositions
Bagiro	 Other
Bai	 Other
Bajau (Sama)	 VO and Prepositions
Bajau (West Coast)	 VO and Prepositions
Baka (in Cameroon)	 VO and Prepositions
Baka (in South Sudan)	 VO and Prepositions
Bali-Vitu	 VO and Prepositions
Balti	 OV and Postpositions
Bambara	 OV and Postpositions
Bankon	 VO and Prepositions
Banoni	 VO and Prepositions
Bao'an	 OV and Postpositions
Baoulé	 VO and Postpositions
Barai	 OV and Postpositions
Barambu	 VO and Prepositions
Barasano	 OV and Postpositions
Baré	 VO and Postpositions
Bari	 VO and Prepositions
Baruya	 OV and Postpositions
Basaá	 VO and Prepositions
Bashkir	 OV and Postpositions
Basque	 OV and Postpositions
Batak (Karo)	 VO and Prepositions
Batak (Toba)	 VO and Prepositions
Bauzi	 OV and Postpositions
Bawm	 OV and Postpositions
Beja	 OV and Postpositions
Bella Coola	 VO and Prepositions
Belorussian	 Other
Bena-Lulua	 VO and Prepositions
Berber (Ayt Seghrouchen Middle Atlas)	 VO and Prepositions
Berber (Figuig)	 VO and Prepositions
Berber (Middle Atlas)	 VO and Prepositions
Berber (Rif)	 VO and Prepositions
Beria	 OV and Postpositions
Betoi	 OV and Postpositions
Betta Kurumba	 OV and Postpositions
Bhojpuri	 OV and Postpositions
Biak	 VO and Prepositions
Bidiya	 VO and Prepositions
Bikol	 VO and Prepositions
Bila	 VO and Prepositions
Bilin	 OV and Postpositions
Biloxi	 OV and Postpositions
Bilua	 VO and Postpositions
Bimoba	 Other
Binandere	 OV and Postpositions
Bini	 VO and Prepositions
Bininj Gun-Wok	 Other
Birom	 VO and Prepositions
Boazi (Kuni)	 OV and Postpositions
Bobangi	 VO and Prepositions
Boko	 OV and Postpositions
Bolia	 VO and Prepositions
Bongo	 VO and Prepositions
Bongu	 OV and Postpositions
Bontok	 VO and Prepositions
Bori	 OV and Postpositions
Brao	 VO and Prepositions
Breton	 VO and Prepositions
Bribri	 OV and Postpositions
Budu	 VO and Prepositions
Buduma	 VO and Prepositions
Bulgarian	 VO and Prepositions
Buma	 VO and Prepositions
Bunuba	 Other
Burarra	 OV and Postpositions
Buriat	 OV and Postpositions
Burmese	 OV and Postpositions
Buru	 VO and Prepositions
Burunge	 Other
Burushaski	 OV and Postpositions
Busa	 OV and Postpositions
Bushoong	 VO and Prepositions
Bwele	 VO and Prepositions
Byansi	 OV and Postpositions
Cahuilla	 OV and Postpositions
Cakchiquel	 VO and Prepositions
