Language	Value	Reference
Aari	 OV and NRel
Abipón	 VO and NRel
Abkhaz	 OV and RelN
Abui	 OV and NRel
Abun	 VO and NRel
Acehnese	 Other
Achagua	 VO and NRel
Achang	 OV and RelN
Acholi	 VO and NRel
Acoma	 Other
Adioukrou	 VO and NRel
Adynyamathanha	 Other
Adzera	 VO and NRel
Ainu	 OV and RelN
Ajagbe	 Other
Akha	 OV and RelN
Ala'ala	 Other
Alamblak	 OV and RelN
Alawa	 Other
Albanian	 VO and NRel
Alyawarra	 OV and NRel
Ambae (Lolovoli Northeast)	 VO and NRel
Ambai	 VO and NRel
Ambulas	 OV and RelN
Amdo (Themchen)	 Other
Amele	 OV and NRel
Amharic	 OV and RelN
Amis	 VO and RelN
Amo	 VO and NRel
Anejom	 VO and NRel
Angami	 OV and NRel
Angas	 VO and NRel
Anggor	 OV and NRel
//Ani	 Other
Anufo	 VO and NRel
Anywa	 Other
Ao	 Other
Apache (Western)	 OV and NRel
Apatani	 OV and RelN
Apurinã	 Other
Arabic (Egyptian)	 VO and NRel
Arabic (Gulf)	 VO and NRel
Arabic (Iraqi)	 VO and NRel
Arabic (Kuwaiti)	 VO and NRel
Arabic (Moroccan)	 VO and NRel
Arabic (Syrian)	 VO and NRel
Araona	 OV and NRel
Arbore	 OV and NRel
Armenian (Eastern)	 Other
Armenian (Western)	 OV and NRel
Arop-Lokep	 VO and NRel
Arosi	 VO and NRel
Arrernte (Mparntwe)	 OV and NRel
Arrernte (Western)	 Other
Asmat	 OV and RelN
Athpare	 OV and RelN
Avokaya	 Other
Awa	 OV and RelN
Awtuw	 OV and RelN
Azari (Iranian)	 Other
Babole	 VO and NRel
Babungo	 VO and NRel
Bachamal	 Other
Bafia	 Other
Bagirmi	 VO and NRel
Bagiro	 VO and NRel
Bai	 VO and RelN
Bajau (Sama)	 VO and NRel
Bajau (West Coast)	 VO and NRel
Baka (in South Sudan)	 VO and NRel
Bakueri	 VO and NRel
Bali-Vitu	 VO and NRel
Balti	 OV and RelN
Bambara	 Other
Baragaunle	 OV and RelN
Barai	 OV and NRel
Barambu	 VO and NRel
Barasano	 OV and NRel
Bari	 VO and NRel
Barupu	 OV and NRel
Basari	 OV and NRel
Bashkir	 OV and RelN
Basque	 OV and RelN
Batak (Karo)	 VO and NRel
Batak (Toba)	 VO and NRel
Baure	 VO and NRel
Bawm	 Other
Beja	 OV and NRel
Belhare	 OV and RelN
Bella Coola	 VO and NRel
Belorussian	 Other
Berber (Figuig)	 VO and NRel
Berber (Middle Atlas)	 VO and NRel
Berber (Rif)	 VO and NRel
