Language	Value
Aari	 OV and NAdj
Abipón	 Other
Abkhaz	 OV and NAdj
Abui	 OV and NAdj
Abun	 VO and NAdj
Acehnese	 Other
Achagua	 VO and NAdj
Achang	 Other
Acholi	 VO and NAdj
Acoma	 Other
Adang	 OV and NAdj
Adioukrou	 VO and NAdj
Adyghe (Abzakh)	 OV and NAdj
Adynyamathanha	 Other
Adzera	 VO and NAdj
Aekyom	 OV and NAdj
Agarabi	 OV and AdjN
Aghem	 VO and NAdj
Agta (Central)	 VO and AdjN
Agta (Dupaningan)	 VO and AdjN
Ainu	 OV and AdjN
Aja	 VO and AdjN
Ajagbe	 Other
Akan	 VO and NAdj
Akha	 OV and NAdj
Alamblak	 OV and AdjN
Alawa	 Other
Albanian	 VO and NAdj
Alsea	 VO and AdjN
Alune	 VO and NAdj
Alyawarra	 OV and NAdj
Ama	 Other
Amahuaca	 OV and NAdj
Amanab	 OV and NAdj
Amara	 VO and NAdj
Ambae (Lolovoli Northeast)	 VO and NAdj
Ambai	 VO and NAdj
Ambulas	 OV and AdjN
Amdo (Themchen)	 Other
Amele	 OV and NAdj
Amharic	 OV and AdjN
Amis	 VO and AdjN
Amo	 VO and NAdj
Anamuxra	 OV and NAdj
Anejom	 VO and NAdj
Anêm	 VO and NAdj
Angami	 OV and NAdj
Angas	 VO and NAdj
Anggor	 OV and NAdj
Anguthimri	 OV and NAdj
//Ani	 Other
Anong	 OV and NAdj
Anufo	 VO and NAdj
Anyi	 VO and NAdj
Anywa	 Other
Ao	 OV and NAdj
Apalaí	 OV and NAdj
Apatani	 OV and NAdj
Apinayé	 OV and NAdj
Apurinã	 Other
Arabana	 OV and NAdj
Arabic (Egyptian)	 VO and NAdj
Arabic (Gulf)	 VO and NAdj
Arabic (Iraqi)	 VO and NAdj
Arabic (Kuwaiti)	 VO and NAdj
Arabic (Modern Standard)	 VO and NAdj
Arabic (Moroccan)	 VO and NAdj
Arabic (Syrian)	 VO and NAdj
Araona	 OV and NAdj
Arapesh (Abu)	 VO and NAdj
Arapesh (Mountain)	 VO and AdjN
Arbore	 OV and NAdj
Archi	 OV and AdjN
Armenian (Eastern)	 Other
Armenian (Western)	 OV and AdjN
Arop-Lokep	 VO and NAdj
Arosi	 VO and NAdj
Arrernte (Mparntwe)	 OV and NAdj
Asmat	 OV and NAdj
Assamese	 OV and AdjN
Atacameño	 OV and NAdj
Atayal	 Other
