UD_Language	WALS_Language
Abaza	Abaza
Abkhaz	Abkhaz
Afrikaans	Afrikaans
Akkadian	/
Akuntsu	/
Albanian	Albanian
Amharic	Amharic
Ancient Greek	/
Ancient Hebrew	/
Apurina	Apurinã
Arabic	Arabic (Modern Standard)
Armenian	Armenian (Eastern)
Assyrian	Neo-Aramaic (Assyrian)
Azerbaijani	Azerbaijani
Bambara	Bambara
Basque	Basque
Bavarian	German (Bavarian)
Beja	Beja
Belarusian	Belorussian
Bengali	Bengali
Bhojpuri	Bhojpuri
Bororo	Bororo
Breton	Breton
Bulgarian	Bulgarian
Buryat	/
Cantonese	Cantonese
Cappadocian	/
Catalan	Catalan
Cebuano	Cebuano
Chinese	/
Chukchi	Chukchi
Classical Armenian	/
Classical Chinese 2	/
Coptic	Coptic
Croatia	Serbo-Croatian
Czech	Czech
Danish	Danish
Dutch	Dutch
Egyptian	Arabic (Egyptian)
English	English
Erzya	Mordvin (Erzya)
Estonian	Estonian
Faroese	Faroese
Finnish	Finnish
French	French
Frisian Dutch	/
Galician	Galician
Georgian	Georgian
German	German
Gheg	/
Gothic	/
Greek	Greek (Modern)
Guajajara	Guajajara
Guarani	Guaraní
Gujarati	Gujarati
Gwichin	/
Haitian Creole	Haitian Creole
Hausa	Hausa
Hebrew	Hebrew (Modern)
Highland P. Nahuatl	Nahuatl (Sierra de Zacapoaxtla)
Hindi	Hindi
Hittite	/
Hungarian	Hungarian
Icelandic	Icelandic
Indonesian	Indonesian
Irish	Irish
Italian	Italian
Japanese	Japanese
Javanese	Javanese
Kaapor	Urubú-Kaapor
Kangri	/
Karelian	Karelian
Karo	Batak (Karo)
Kazakh	Kazakh
Khunsari	/
Kiche	/
Komi Permyak	Komi-Permyak
Komi Zyrian	Komi-Zyrian
Korean	Korean
Kurmanji	Kurmanji
Kyrgyz	/
Latgalian	/
Latin	/
Latvian	Latvian
Ligurian	/
Lithuanian	Lithuanian
Livvi	/
Low Saxon	Low German
Luxembourgish	Luxemburgeois
Macedonian	Macedonian
Madi	Jamamadi
Maghrebi Arabic French	/
Makurap	/
Malayalam	Malayalam
Maltese	Maltese
Manx	Manx
Marathi	Marathi
Mbya Guarani	/
Middle French	/
Moksha	Mordvin (Moksha)
Munduruku	Mundurukú
Naija	Nigerian Pidgin
Nayini	/
Neapolitan	Italian (Napolitanian)
Nheengatu	/
North Sami	Saami (Northern)
Northwest Gbaya	Gbaya (Northwest)
Norwegian	Norwegian
Old Church Slavonic	/
Old East Slavic	/
Old French	/
Old Irish	/
Old Turkish	/
Ottoman Turkish	/
Pashto	Pashto
Paumari	Paumarí
Persian	Persian
Pesh	Pech
Phrygian	/
Polish	Polish
Pomak	/
Portuguese	Portuguese
Romanian	Romanian
Russian	Russian
Sanskrit	/
Scottish Gaelic	Gaelic (Scots)
Serbian	Serbo-Croatian
Sinhala	Sinhala
Skolt Sami	/
Slovak	Slovak
Slovenian	Slovene
Soi	/
South Levantine Arabic	Arabic (Palestinian)
Spanish	Spanish
Spanish Sign Language	Lengua de Señas Española
Swedish	Swedish
Swedish Sign Language	Svenska Teckenspråket
Swiss German	German (Zurich)
Tagalog	Tagalog
Tamil	Tamil
Tatar	Tatar
Teko	/
Telugu	Telugu
Telugu English	Telugu
Thai	Thai
Tswana	Tswana
Tupinamba	Tupi
Turkish	Turkish
Turkish German	/
Ukrainian	Ukrainian
Umbrian	/
Upper Sorbian	Sorbian (Upper)
Urdu	Urdu
Uyghur	Uyghur
Uzbek	Uzbek
Veps	Veps
Vietnamese	Vietnamese
Warlpiri	Warlpiri
Welsh	Welsh
Western Armenian	Armenian (Western)
Western S.P. Nahuatl	/
Wolof	Wolof
Xavante	Xavánte
Xibe	/
Yakut	Yakut
Yoruba	Yoruba
Yupik	Yupik (Siberian)
Zaar	/
